"Fecha","Indicador","Territorio","Valor"
"2020-04-09","Casos activos","Artigas",0
"2020-04-09","Casos activos","Canelones",37
"2020-04-09","Casos activos","Cerro Largo",0
"2020-04-09","Casos activos","Colonia",4
"2020-04-09","Casos activos","Durazno",0
"2020-04-09","Casos activos","Flores",0
"2020-04-09","Casos activos","Florida",0
"2020-04-09","Casos activos","Lavalleja",4
"2020-04-09","Casos activos","Maldonado",12
"2020-04-09","Casos activos","Montevideo",150
"2020-04-09","Casos activos","Paysand�",1
"2020-04-09","Casos activos","R�o Negro",5
"2020-04-09","Casos activos","Rivera",1
"2020-04-09","Casos activos","Rocha",1
"2020-04-09","Casos activos","Salto",9
"2020-04-09","Casos activos","San Jos�",1
"2020-04-09","Casos activos","Soriano",0
"2020-04-09","Casos activos","Tacuaremb�",0
"2020-04-09","Casos activos","Treinta y Tres",0
"2020-04-09","Casos recuperados","Artigas",0
"2020-04-09","Casos recuperados","Canelones",38
"2020-04-09","Casos recuperados","Cerro Largo",0
"2020-04-09","Casos recuperados","Colonia",3
"2020-04-09","Casos recuperados","Durazno",0
"2020-04-09","Casos recuperados","Flores",1
"2020-04-09","Casos recuperados","Florida",0
"2020-04-09","Casos recuperados","Lavalleja",0
"2020-04-09","Casos recuperados","Maldonado",5
"2020-04-09","Casos recuperados","Montevideo",156
"2020-04-09","Casos recuperados","Paysand�",0
"2020-04-09","Casos recuperados","R�o Negro",0
"2020-04-09","Casos recuperados","Rivera",0
"2020-04-09","Casos recuperados","Rocha",0
"2020-04-09","Casos recuperados","Salto",3
"2020-04-09","Casos recuperados","San Jos�",0
"2020-04-09","Casos recuperados","Soriano",1
"2020-04-09","Casos recuperados","Tacuaremb�",0
"2020-04-09","Casos recuperados","Treinta y Tres",0
"2020-04-09","Fallecidos","Artigas",0
"2020-04-09","Fallecidos","Canelones",0
"2020-04-09","Fallecidos","Cerro Largo",0
"2020-04-09","Fallecidos","Colonia",0
"2020-04-09","Fallecidos","Durazno",0
"2020-04-09","Fallecidos","Flores",0
"2020-04-09","Fallecidos","Florida",0
"2020-04-09","Fallecidos","Lavalleja",0
"2020-04-09","Fallecidos","Maldonado",1
"2020-04-09","Fallecidos","Montevideo",6
"2020-04-09","Fallecidos","Paysand�",0
"2020-04-09","Fallecidos","R�o Negro",0
"2020-04-09","Fallecidos","Rivera",0
"2020-04-09","Fallecidos","Rocha",0
"2020-04-09","Fallecidos","Salto",0
"2020-04-09","Fallecidos","San Jos�",0
"2020-04-09","Fallecidos","Soriano",0
"2020-04-09","Fallecidos","Tacuaremb�",0
"2020-04-09","Fallecidos","Treinta y Tres",0
"2020-04-09","Personal de la salud  Confirmados","Todo el pa�s",62
"2020-04-09","Personal de la salud  Recuperados","Todo el pa�s",0
"2020-04-09","Personal de la salud  Activos","Todo el pa�s",0
"2020-04-09","Personal de la salud  Fallecidos","Todo el pa�s",0
"2020-04-09","Cantidad de Tests  Positivos","Todo el pa�s",17
"2020-04-09","Cantidad de Tests  Negativos","Todo el pa�s",664
"2020-04-09","Personas en CTI","Todo el pa�s",13
"2020-04-09","Personas en CI","Todo el pa�s",4
"2020-04-09","Fallecidos","Todo el pa�s",7
"2020-04-09","Casos nuevos","Todo el pa�s",0
"2020-04-10","Casos activos","Artigas",0
"2020-04-10","Casos activos","Canelones",37
"2020-04-10","Casos activos","Cerro Largo",0
"2020-04-10","Casos activos","Colonia",5
"2020-04-10","Casos activos","Durazno",0
"2020-04-10","Casos activos","Flores",0
"2020-04-10","Casos activos","Florida",0
"2020-04-10","Casos activos","Lavalleja",4
"2020-04-10","Casos activos","Maldonado",13
"2020-04-10","Casos activos","Montevideo",167
"2020-04-10","Casos activos","Paysand�",1
"2020-04-10","Casos activos","R�o Negro",5
"2020-04-10","Casos activos","Rivera",1
"2020-04-10","Casos activos","Rocha",0
"2020-04-10","Casos activos","Salto",9
"2020-04-10","Casos activos","San Jos�",2
"2020-04-10","Casos activos","Soriano",0
"2020-04-10","Casos activos","Tacuaremb�",0
"2020-04-10","Casos activos","Treinta y Tres",0
"2020-04-10","Casos recuperados","Artigas",0
"2020-04-10","Casos recuperados","Canelones",40
"2020-04-10","Casos recuperados","Cerro Largo",0
"2020-04-10","Casos recuperados","Colonia",3
"2020-04-10","Casos recuperados","Durazno",0
"2020-04-10","Casos recuperados","Flores",1
"2020-04-10","Casos recuperados","Florida",0
"2020-04-10","Casos recuperados","Lavalleja",0
"2020-04-10","Casos recuperados","Maldonado",5
"2020-04-10","Casos recuperados","Montevideo",159
"2020-04-10","Casos recuperados","Paysand�",0
"2020-04-10","Casos recuperados","R�o Negro",1
"2020-04-10","Casos recuperados","Rivera",0
"2020-04-10","Casos recuperados","Rocha",1
"2020-04-10","Casos recuperados","Salto",3
"2020-04-10","Casos recuperados","San Jos�",0
"2020-04-10","Casos recuperados","Soriano",1
"2020-04-10","Casos recuperados","Tacuaremb�",0
"2020-04-10","Casos recuperados","Treinta y Tres",0
"2020-04-10","Fallecidos","Artigas",0
"2020-04-10","Fallecidos","Canelones",0
"2020-04-10","Fallecidos","Cerro Largo",0
"2020-04-10","Fallecidos","Colonia",0
"2020-04-10","Fallecidos","Durazno",0
"2020-04-10","Fallecidos","Flores",0
"2020-04-10","Fallecidos","Florida",0
"2020-04-10","Fallecidos","Lavalleja",0
"2020-04-10","Fallecidos","Maldonado",1
"2020-04-10","Fallecidos","Montevideo",6
"2020-04-10","Fallecidos","Paysand�",0
"2020-04-10","Fallecidos","R�o Negro",0
"2020-04-10","Fallecidos","Rivera",0
"2020-04-10","Fallecidos","Rocha",0
"2020-04-10","Fallecidos","Salto",0
"2020-04-10","Fallecidos","San Jos�",0
"2020-04-10","Fallecidos","Soriano",0
"2020-04-10","Fallecidos","Tacuaremb�",0
