Fecha,Indicador,Territorio,Valor
2020-04-09,Casos activos,Colonia,4
2020-04-10,Casos activos,Colonia,5
2020-04-11,Casos activos,Colonia,5
2020-04-12,Casos activos,Colonia,5
2020-04-13,Casos activos,Colonia,5
2020-04-14,Casos activos,Colonia,5
2020-04-15,Casos activos,Colonia,5
2020-04-16,Casos activos,Colonia,5
2020-04-17,Casos activos,Colonia,5
2020-04-18,Casos activos,Colonia,5
2020-04-19,Casos activos,Colonia,5
2020-04-20,Casos activos,Colonia,5
2020-04-21,Casos activos,Colonia,3
2020-04-22,Casos activos,Colonia,3
2020-04-23,Casos activos,Colonia,3
2020-04-24,Casos activos,Colonia,2
2020-04-25,Casos activos,Colonia,2
2020-04-26,Casos activos,Colonia,2
2020-04-27,Casos activos,Colonia,2
2020-04-28,Casos activos,Colonia,2
2020-04-29,Casos activos,Colonia,2
2020-04-30,Casos activos,Colonia,2
2020-04-30,Casos activos,Colonia,2
2020-05-01,Casos activos,Colonia,2
2020-05-02,Casos activos,Colonia,2
2020-05-03,Casos activos,Colonia,2
2020-05-03,Casos activos,Colonia,2
2020-05-04,Casos activos,Colonia,2
2020-05-05,Casos activos,Colonia,3
2020-05-06,Casos activos,Colonia,3
2020-05-07,Casos activos,Colonia,2
2020-05-08,Casos activos,Colonia,2
2020-05-09,Casos activos,Colonia,2
2020-05-10,Casos activos,Colonia,2
2020-05-11,Casos activos,Colonia,2
2020-05-12,Casos activos,Colonia,2
2020-05-13,Casos activos,Colonia,2
2020-05-14,Casos activos,Colonia,2
2020-05-15,Casos activos,Colonia,2
2020-05-16,Casos activos,Colonia,2
2020-05-17,Casos activos,Colonia,2
2020-05-18,Casos activos,Colonia,2
2020-05-19,Casos activos,Colonia,2
2020-05-20,Casos activos,Colonia,2
2020-05-21,Casos activos,Colonia,2
2020-05-22,Casos activos,Colonia,1
2020-05-23,Casos activos,Colonia,1
2020-05-24,Casos activos,Colonia,1
2020-05-25,Casos activos,Colonia,0
2020-05-26,Casos activos,Colonia,0
2020-05-27,Casos activos,Colonia,0
2020-05-28,Casos activos,Colonia,0
2020-05-29,Casos activos,Colonia,0
2020-05-30,Casos activos,Colonia,0
2020-05-31,Casos activos,Colonia,0
2020-06-01,Casos activos,Colonia,0
2020-06-02,Casos activos,Colonia,0
